transaction_id,account_id,conductor_id,location_id,timestamp,amount,transaction_type,is_cash,currency
tx_0000001,acc_000276,cust_000480,loc_00044,2026-03-10T16:07:14.029612,3313.16,MONETARY_INSTRUMENT_PURCHASE,True,USD
tx_0000002,acc_000070,noncust_000101,loc_00020,2026-03-10T02:24:15.768325,3522.41,WIRE_TRANSFER,False,USD
tx_0000003,acc_000073,cust_000073,loc_00004,2026-03-10T13:01:14.070678,1282.02,CHECK_DEPOSIT,False,USD
tx_0000004,acc_000447,cust_000288,loc_00009,2026-03-10T04:33:25.553952,1155.84,CHECK_DEPOSIT,False,USD
tx_0000005,acc_000483,cust_000483,loc_00019,2026-03-10T20:51:47.935900,1532.35,DEPOSIT,True,USD
tx_0000006,acc_000117,cust_000122,loc_00036,2026-03-06T14:58:37.039089,3466.96,WIRE_TRANSFER,False,USD
tx_0000007,acc_000275,cust_000275,loc_00048,2026-03-08T03:29:46.533931,2771.95,DEPOSIT,True,USD
tx_0000008,acc_000166,noncust_000164,loc_00025,2026-03-07T11:01:38.238052,2565.0,CHECK_DEPOSIT,False,USD
tx_0000009,acc_000403,noncust_000076,loc_00013,2026-03-06T15:35:58.726407,3619.13,MONETARY_INSTRUMENT_PURCHASE,True,USD
tx_0000010,acc_000375,cust_000375,loc_00047,2026-03-05T21:00:28.050151,1430.94,WIRE_TRANSFER,False,USD
tx_0000011,acc_000355,cust_000355,loc_00023,2026-03-08T04:48:51.179199,2253.38,CHECK_DEPOSIT,False,USD
tx_0000012,acc_000057,cust_000057,loc_00009,2026-03-08T12:27:06.860262,794.63,CHECK_DEPOSIT,False,USD
tx_0000013,acc_000490,cust_000490,loc_00018,2026-03-05T02:18:22.862489,4924.06,MONETARY_INSTRUMENT_PURCHASE,True,USD
tx_0000014,acc_000288,cust_000288,loc_00017,2026-03-05T22:15:32.837143,4185.85,WITHDRAWAL,True,USD
tx_0000015,acc_000172,noncust_000044,loc_00041,2026-03-10T02:03:51.430230,4723.09,WITHDRAWAL,True,USD
tx_0000016,acc_000187,cust_000187,loc_00040,2026-03-10T21:32:41.077453,1746.87,MONETARY_INSTRUMENT_PURCHASE,True,USD
tx_0000017,acc_000070,cust_000070,loc_00010,2026-03-09T23:06:48.101634,4218.78,MONETARY_INSTRUMENT_PURCHASE,False,USD
tx_0000018,acc_000360,cust_000108,loc_00021,2026-03-09T01:52:32.864626,4617.15,MONETARY_INSTRUMENT_PURCHASE,True,USD
tx_0000019,acc_000208,noncust_000012,loc_00023,2026-03-09T09:28:04.704805,4204.71,WITHDRAWAL,True,USD
tx_0000020,acc_000301,cust_000480,loc_00001,2026-03-10T04:24:40.449815,4374.2,WITHDRAWAL,True,USD
tx_0000021,acc_000185,cust_000244,loc_00036,2026-03-09T10:17:08.704322,2406.97,CHECK_DEPOSIT,False,USD
tx_0000022,acc_000287,cust_000287,loc_00014,2026-03-09T08:14:43.498191,149.44,DEPOSIT,True,USD
